ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Capitol Technology University","Laurel","Md.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Cardinal Stritch U.","Milwaukee","Wis.","07/31/14","2.4","Private not-for-profit, 4-year or above"
"Career College of Northern Nevada","Sparks","Nev.","12/31/14","1.8","Private for-profit, 2-year"
"Career Point College at San Antonio","San Antonio","Tex.","06/30/15","2.1","Private for-profit, 4-year or above"
"Career Quest Learning Center at Lansing","Lansing","Mich.","12/31/14","2.5","Private for-profit, 2-year"
"Career Training Academy at New Kensington","Lower Burrell","Pa.","12/31/14","2.9","Private for-profit, 2-year"
"Careers Unlimited","Orem","Utah","12/31/14","2.3","Private for-profit, 4-year or above"
"Caribbean U. at Bayamon (P.R.)","Bayamon","P.R.","06/30/15","1.2","Private not-for-profit, 4-year or above"
"Carleton College","Northfield","Minn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Carlos Albizu U. at San Juan (P.R.)","San Juan","P.R.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Carlow U.","Pittsburgh","Pa.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Carnegie Mellon U.","Pittsburgh","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Carolina Christian College","Winston-Salem","N.C.","06/30/15","1.3","Private not-for-profit, 4-year or above"
"Carolina College of Biblical Studies","Fayetteville","N.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Carroll College","Helena","Mont.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Carroll U.","Waukesha","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"Carson-Newman U.","Jefferson City","Tenn.","07/31/14","1.4","Private not-for-profit, 4-year or above"
"Carthage College","Kenosha","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"Carver College","Atlanta","Ga.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Casa Loma College at Van Nuys (Calif.)","Van Nuys","Calif.","06/30/15","2.2","Private not-for-profit, 2-year"
"Case Western Reserve U.","Cleveland","Ohio","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Catawba College","Salisbury","N.C.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Catholic Distance University","Charles Town","W.Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Catholic Theological Union","Chicago","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Catholic U. of America","Washington","D.C.","04/30/15","3","Private not-for-profit, 4-year or above"
"Cazenovia College","Cazenovia","N.Y.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"CBD College","Los Angeles","Calif.","03/31/15","2.1","Private not-for-profit, 2-year"
"Cedar Crest College","Allentown","Pa.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Cedarville U.","Cedarville","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Centenary College of Louisiana","Shreveport","La.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Centenary U.","Hackettstown","N.J.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Center for Advanced Legal Studies","Houston","Tex.","12/31/14","3","Private for-profit, 4-year or above"
"Center for Advanced Studies on Puerto Rico and the Caribbean","San Juan","P.R.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Central Baptist College","Conway","Ark.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Central Baptist Theological Seminary (Kan.)","Shawnee","Kans.","07/31/14","3","Private not-for-profit, 4-year or above"
"Central Christian College of the Bible","Moberly","Mo.","06/30/15","1","Private not-for-profit, 4-year or above"
"Central College","Pella","Iowa","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Central Maine Medical Center College of Nursing and Health Professions","Lewiston","Maine","06/30/15","2.5","Private not-for-profit, 2-year"
"Central Methodist U., College of Liberal Arts and Sciences","Fayette","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Central Penn College","Summerdale","Pa.","12/31/14","3","Private for-profit, 4-year or above"
"Central Yeshiva Tomchei Tmimim Lubavitch America","Brooklyn","N.Y.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Centre College","Danville","Ky.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Centura College at Virginia Beach (Va.)","Virginia Beach","Va.","12/31/14","2.4","Private for-profit, 4-year or above"
"Chaminade U. of Honolulu","Honolulu","Hawaii","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Champlain College","Burlington","Vt.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Chapman U.","Orange","Calif.","05/31/15","3","Private not-for-profit, 4-year or above"
"Charles R. Drew U. of Medicine and Science","Los Angeles","Calif.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Charleston School of Law","Charleston","S.C.","12/31/14","-0.6","Private for-profit, 4-year or above"
"Charleston Southern U.","Charleston","S.C.","05/31/15","3","Private not-for-profit, 4-year or above"
"Charter College at Anchorage","Vancouver","Wash.","12/31/14","1.5","Private for-profit, 4-year or above"
"Chatfield College","Saint Martin","Ohio","06/30/15","3","Private not-for-profit, 2-year"
"Chatham U.","Pittsburgh","Pa.","06/30/15","2","Private not-for-profit, 4-year or above"
"Chattanooga College","Chattanooga","Tenn.","12/31/14","-0.1","Private for-profit, 2-year"
"Chester Career College","Chester","Va.","12/31/14","2.3","Private for-profit, 2-year"
"Chestnut Hill College","Philadelphia","Pa.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Chicago School of Professional Psychology at Los Angeles","Los Angeles","Calif.","05/31/15","3","Private not-for-profit, 4-year or above"
"Chicago Theological Seminary","Chicago","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Chowan U.","Murfreesboro","N.C.","05/31/15","3","Private not-for-profit, 4-year or above"
"Christ College of Nursing and Health Sciences","Cincinnati","Ohio","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Christ the King Seminary","East Aurora","N.Y.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Christian Brothers U.","Memphis","Tenn.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Christian Life College","Mount Prospect","Ill.","06/30/15","-0.4","Private not-for-profit, 4-year or above"
"Christian Theological Seminary","Indianapolis","Ind.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Christie's Education","New York","N.Y.","12/31/14","2.5","Private for-profit, 4-year or above"
"Church Divinity School of the Pacific","Berkeley","Calif.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Cincinnati Christian U.","Cincinnati","Ohio","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Cincinnati College of Mortuary Science","Cincinnati","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"City College at Fort Lauderdale","Fort Lauderdale","Fla.","09/30/14","2.6","Private not-for-profit, 4-year or above"
"City U. of Seattle","Seattle","Wash.","06/30/15","1.2","Private not-for-profit, 4-year or above"
"City Vision College","Kansas City","Mo.","12/31/14","1.9","Private not-for-profit, 4-year or above"
"Claflin U.","Orangeburg","S.C.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Claremont Graduate U.","Claremont","Calif.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Claremont McKenna College","Claremont","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Claremont School of Theology","Claremont","Calif.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Clark Atlanta U.","Atlanta","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Clark U.","Worcester","Mass.","05/31/15","3","Private not-for-profit, 4-year or above"
"Clarke U.","Dubuque","Iowa","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Clarkson College","Omaha","Nebr.","06/30/15","3","Private not-for-profit, 4-year or above"
"Clarkson U.","Potsdam","N.Y.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Clear Creek Baptist Bible College","Pineville","Ky.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Clearwater Christian College","Clearwater","Fla.","06/30/15","1","Private not-for-profit, 4-year or above"
"Cleary U.","Howell","Mich.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Cleveland Institute of Art","Cleveland","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Cleveland Institute of Music","Cleveland","Ohio","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Cleveland U. at Kansas City","Overland Park","Kans.","08/31/14","3","Private not-for-profit, 4-year or above"
"Clinton College","Rock Hill","S.C.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"CNI College","Orange","Calif.","12/31/14","3","Private for-profit, 2-year"
"Cochran School of Nursing","Yonkers","N.Y.","12/31/14","-1","Private not-for-profit, 2-year"
"Coe College","Cedar Rapids","Iowa","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Cogswell Polytechnical College","San Jose","Calif.","12/31/14","1.6","Private for-profit, 4-year or above"
"Coker College","Hartsville","S.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Colby College","Waterville","Maine","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Colby-Sawyer College","New London","N.H.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Coleman U.","San Diego","Calif.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Colgate Rochester Crozer Divinity School","Rochester","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Colgate U.","Hamilton","N.Y.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"College for Creative Studies","Detroit","Mich.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"College of Biblical Studies at Houston","Houston","Tex.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"College of Business and Technology-Kendall (Fla.)","Miami","Fla.","06/30/15","2.4","Private for-profit, 4-year or above"
"College of Cinematographic Art and Television","Bayamon","P.R.","12/31/14","3","Private for-profit, 2-year"
"College of Court Reporting","Hobart","Ind.","09/30/14","2.4","Private for-profit, 2-year"
"College of Health Care Professions at Austin (Tex.)","Austin","Tex.","12/31/14","1.5","Private for-profit, 2-year"
"College of Health Care Professions-Northwest","Houston","Tex.","12/31/14","1.5","Private for-profit, 2-year"
"College of Idaho","Caldwell","Idaho","06/30/15","2.2","Private not-for-profit, 4-year or above"
"College of Mount Saint Vincent","Riverdale","N.Y.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"College of Mount St. Joseph","Cincinnati","Ohio","06/30/15","2.6","Private not-for-profit, 4-year or above"
"College of New Rochelle (N.Y.)","New Rochelle","N.Y.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"College of Saint Benedict","St Joseph","Minn.","06/30/15","3","Private not-for-profit, 4-year or above"
"College of Saint Elizabeth","Morristown","N.J.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"College of Saint Mary","Omaha","Nebr.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"College of Saint Rose","Albany","N.Y.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"College of Saint Scholastica","Duluth","Minn.","06/30/15","3","Private not-for-profit, 4-year or above"
"College of St. Joseph","Rutland","Vt.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"College of St. Mary Magdalen","Warner","N.H.","06/30/15","-0.6","Private not-for-profit, 4-year or above"
"College of the Atlantic","Bar Harbor","Maine","06/30/15","2.3","Private not-for-profit, 4-year or above"
"College of the Holy Cross","Worcester","Mass.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"College of the Ozarks","Point Lookout","Mo.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"College of Westchester (N.Y.)","White Plains","N.Y.","12/31/14","2.2","Private for-profit, 4-year or above"
"College of Wooster (Ohio)","Wooster","Ohio","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Colorado Academy of Veterinary Technology","Colorado Springs","Colo.","12/31/14","1.5","Private for-profit, 2-year"
"Colorado Christian U.","Lakewood","Colo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Colorado College","Colorado Springs","Colo.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Colorado Heights U.","Denver","Colo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Colorado School of Healing Arts","Lakewood","Colo.","12/31/14","3","Private for-profit, 2-year"
"Colorado School of Trades","Lakewood","Colo.","12/31/14","3","Private for-profit, 2-year"
"Colorado School of Traditional Chinese Medicine","Denver","Colo.","12/31/14","2.5","Private for-profit, 4-year or above"
"Columbia Centro U. at Caguas (P.R.)","Caguas","P.R.","06/30/15","3","Private for-profit, 4-year or above"
"Columbia College (Mo.)","Columbia","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Columbia College (S.C.)","Columbia","S.C.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Columbia College (Va.)","Fairfax","Va.","12/31/14","1.7","Private for-profit, 2-year"
"Columbia College Chicago","Chicago","Ill.","08/31/14","3","Private not-for-profit, 4-year or above"
"Columbia College Hollywood","Tarzana","Calif.","08/31/14","2","Private not-for-profit, 4-year or above"
"Columbia College of Nursing","Glendale","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"Columbia International U.","Columbia","S.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Columbia Southern U.","Orange Beach","Ala.","12/31/14","3","Private for-profit, 4-year or above"
"Columbia Theological Seminary","Decatur","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Columbia U.","New York","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Columbus College of Art & Design","Columbus","Ohio","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Commonwealth Institute of Funeral Service","Houston","Tex.","12/31/14","3","Private not-for-profit, 2-year"
"Commonwealth Medical College","Scranton","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Community Care College","Tulsa","Okla.","12/31/14","2.6","Private for-profit, 2-year"
"Compass College of Cinematic Arts","Grand Rapids","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Conception Seminary College","Conception","Mo.","05/31/15","3","Private not-for-profit, 4-year or above"
"Concorde Career College at Kansas City (Mo.)","Kansas City","Mo.","12/31/14","1.1","Private for-profit, 4-year or above"
"Concordia College (N.Y.)","Bronxville","N.Y.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Concordia College at Moorhead","Moorhead","Minn.","04/30/15","2.7","Private not-for-profit, 4-year or above"
"Concordia Seminary (Mo.)","Saint Louis","Mo.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Concordia Theological Seminary","Fort Wayne","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Concordia U. (Calif.)","Irvine","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
